,Data_accident,Hora_Avis,Via,Data_publicacio,Hora_publicacio,Text_Complet,URL
<p style=""text-align: left;"">El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p style=""text-align: left;"">19 de març de 2016</p>
<p style=""text-align: left;"">10.15 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160319_acc_bv2421
316," Diumenge, 13 de març de 2016",  17.02 , C-14 al punt quilomètric 167 a Fígols i Alinyà (Alt Urgell),14/03/2016,08:37,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Diumenge, 13 de març de 2016</strong><strong><br/>HORA D'AVÍS:  17.02 h<br/>VIA: C-14 al punt quilomètric 167 a Fígols i Alinyà (Alt Urgell)</strong> </p>
<p>El Servei Català de Trànsit (SCT) informa que ahir a la tarda es va registrar un  sinistre viari mortal al punt quilomètric 167 de la C-14 a Fígols i Alinyà (Alt Urgell). Els Mossos d’Esquadra van rebre l’avís a les 17.02 hores. </p>
<p>Per causes que s’estan investigant, un turisme va sortir de la via i va col·lidir amb un arbre. Com a conseqüència de l’impacte, la passatgera davantera va resultar ferida molt greu i va ser evacuada en helicòpter del Sistema d’Emergències Mèdiques (SEM) però va morir durant el trasllat. La víctima és  I.J.V, de 66 anys i amb veïnatge a Barcelona. D’altra banda, el conductor del vehicle va resultar ferit greu i va ser traslladat en ambulància a l’Hospital Arnau de Vilanova de Lleida. </p>
<p>Arran del sinistre, es van activar sis patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat, i tres ambulàncies i un helicòpter del SEM. </p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>14 de març de 2016</p>
<p>08.30 h<br/><br/></p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160314_acc_C14
317," Diumenge, 13 de març de 2016",  06.52 ," C-58 al punt quilomètric 0,8 a Montcada i Reixac (Vallès Occidental)",13/03/2016,06:52,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Diumenge, 13 de març de 2016</strong><strong><br/> HORA D'AVÍS:  06.52 h<br/> VIA: C-58 al punt quilomètric 0,8 a Montcada i Reixac (Vallès Occidental)</strong></p>
<p><strong></strong>El Servei Català de Trànsit (SCT) informa que aquest matí s’ha registrat un  sinistre viari mortal al punt quilomètric 0,8 de la C-58 a Montcada i Reixac (Vallès Occidental) en sentit nord. Els Mossos d’Esquadra han rebut l’avís a les 06.52 hores.</p>
<p>Per causes que s’estan investigant, una motocicleta ha sortit de la via i han mort el conductor del vehicle, P.C.O., de 24 anys i veí de Sabadell, i la passatgera, E.M.C.P., de 37 anys i veïna de Sant Feliu Sasserra.</p>
<p>Arran del sinistre, s’han activat cinc patrulles dels Mossos d’Esquadra i tres  ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>13 de març de 2016<br/>12.50h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160313_C_58
318," Diumenge, 28 de febrer de 2016",  02.48 , C-31 al punt quilomètric 210 a Sant Adrià de Besòs (Barcelonès),28/02/2016,12:14,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Diumenge, 28 de febrer de 2016</strong><strong><br/> HORA D'AVÍS:  02.48 h<br/> VIA: C-31 al punt quilomètric 210 a Sant Adrià de Besòs (Barcelonès)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit (SCT) informa que aquesta matinada s’ha registrat un  sinistre viari mortal al punt quilomètric 210 de la C-31 a Sant Adrià de Besòs (Barcelonès). Els Mossos d’Esquadra han rebut l’avís a les 02.48 hores.</p>
<p>Per causes que s’estan investigant, un turisme ha sortit de la via i el conductor i únic ocupant del vehicle, F.F.S., de 41 anys i veí de Badalona, ha resultat mort.</p>
<p>Arran del sinistre, que ha obligat a restringir la calçada entre 03.00 i les 05.18 h, s’han activar vuit patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat i tres  ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>28 de febrer de 2016<br/> 11.30h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160228_acc_C_31
319," Dimecres, 24 de febrer de 2016",  03.00 ," N-IIa al punt quilomètric 455,1 a Lleida (Segrià)",25/02/2016,16:17,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dimecres, 24 de febrer de 2016</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS:  03.00 h</strong></p>
<p style=""text-align: left;""><strong> VIA: N-IIa al punt quilomètric 455,1 a Lleida (Segrià)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta matinada s’ha registrat un  sinistre viari mortal al punt quilomètric 455,1 de la N-IIa a Lleida (Segrià). Els Mossos d’Esquadra han rebut l’avís a les 03.00 hores. </p>
<p style=""text-align: left;"">Per causes que s’estan investigant, un vianant ha estat atropellat per un tot terreny i ha mort a l’acte. La víctima és un home de 39 anys de nacionalitat espanyola. El conductor del vehicle ha resultat il·lès. </p>
<p style=""text-align: left;"">Arran del sinistre, s’han activat tres patrulles dels Mossos d’Esquadra i dues ambulàncies del Sistema d’Emergències Mèdiques (SEM). </p>
<p style=""text-align: left;"">El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p style=""text-align: left;"">25 de febrer de 2016<br/>16.18 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160225_acc_N_II
320," Dissabte, 20 de febrer de 2016",  17.08 , C-14 al punt quilomètric 41 a  Montblanc (Conca de Barberà),21/02/2016,10:40,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dissabte, 20 de febrer de 2016</strong><strong><br/>HORA D'AVÍS:  17.08 h<br/>VIA: C-14 al punt quilomètric 41 a  Montblanc (Conca de Barberà)</strong> </p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que ahir a la tarda es va registrar un  sinistre viari mortal al punt quilomètric 41 de la C-14 a Montblanc (Conca de Barberà). Els Mossos d’Esquadra van rebre l’avís a les 17.08 hores. </p>
<p style=""text-align: left;"">Per causes que s’estan investigant, una motocicleta va topar frontalment amb una furgoneta i el motorista, J A. A. S., de 55 anys i veí de Montbrió del Camp, va morir. En el sinistre hi va haver implicada una altra motocicleta, el conductor de la qual va resultar ferit greu i va ser evacuat a l’hospital Sant Joan de Reus. D’altra banda, la passatgera davantera de la furgoneta va quedar ferida menys greu i va ser traslladada a l’hospital Joan XXIII de Tarragona. El conductor d’aquest vehicle va resultar il·lès. </p>
<p style=""text-align: left;"">Arran de l’incident es van activar cinc patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat i quatre ambulàncies del Sistema d’Emergències Mèdiques. Quant a l’afectació viària, la carretera va estar restringida durant gairebé tres hores i es van fer desviaments per la  TV-2337 i la TV-2336. </p>
<p style=""text-align: left;"">El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.<strong> </strong></p>
<p style=""text-align: left;"">21 de febrer de 2016<br/>10.40 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160221_acc_c14
321," Dijous, 11 de febrer de 2016",  08.54 , C-31 al punt quilomètric 211 a Badalona (Barcelonès),11/02/2016,20:54,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dijous, 11 de febrer de 2016</strong><br/><strong>HORA D'AVÍS:  08.54 h</strong><br/><strong>VIA: C-31 al punt quilomètric 211 a Badalona (Barcelonès)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que ahir al matí es va registrar un  sinistre viari mortal al punt quilomètric 211 de la C-31 a Badalona (Barcelonès).</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra van rebre l’avís a les 08.54 hores. Per causes que s’estan investigant, i segons les darreres informacions, es va produir una col·lisió entre un autobús i una motocicleta, en la que va resultar morta la conductora de la motocicleta. La víctima és L.E.P., de 29 anys, veïna de l’Hospitalet de Llobregat i de nacionalitat colombiana.</p>
<p style=""text-align: left;"">Arran del sinistre, que va obligar a tallar dos carrils de la via entre les 09.13 i les 11.25 hores, es van activar vuit patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat i dues ambulàncies del Sistema d’Emergències Mèdiques.</p>
<p style=""text-align: left;"">El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.<strong> </strong></p>
<p style=""text-align: left;"">12 de febrer de 2016<br/>11.15 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160211_modificacio_c_31
322," Dijous, 11 de febrer de 2016",  08.54 , C-31 al punt quilomètric 211 a Badalona (Barcelonès),11/02/2016,13:53,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dijous, 11 de febrer de 2016</strong><strong><br/>HORA D'AVÍS:  08.54 h<br/>VIA: C-31 al punt quilomètric 211 a Badalona (Barcelonès)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquest matí s’ha registrat un  sinistre viari mortal al punt quilomètric 211 de la C-31 a Badalona (Barcelonès).</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra han rebut l’avís a les 08.54 hores. Per causes que s’estan investigant, hi ha hagut una col·lisió entre un taxi, un autobús i una motocicleta en la que ha resultat morta la conductora de la motocicleta. La víctima és L.E.P., de 29 anys, veïna de l’Hospitalet de Llobregat i de nacionalitat colombiana.</p>
<p style=""text-align: left;"">Arran del sinistre, que ha obligat a tallar dos carrils de la via entre les 09.13 i les 11.25 hores, s’han activat vuit patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat i dues ambulàncies del Sistema d’Emergències Mèdiques.</p>
<p style=""text-align: left;"">El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p style=""text-align: left;""><strong> </strong>11 de febrer de 2016<br/>13.50 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160211_c_31
323," Dimecres, 10 de febrer de 2016",  18.16 ," N-340 al punt quilomètric 1.087,5 a l’Aldea (Baix Ebre)",10/02/2016,18:16,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dimecres, 10 de febrer de 2016</strong><strong><br/>HORA D'AVÍS:  18.16 h<br/>VIA: N-340 al punt quilomètric 1.087,5 a l’Aldea (Baix Ebre)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que ahir a la tarda es va registrar un  sinistre viari mortal al punt quilomètric 1.087,5 de la N-340 a l’Aldea (Baix Ebre).</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra van rebre l’avís a les 18.16 hores. Per causes que encara s’estan investigant, hi va haver una col·lisió frontal entre un turisme i una furgoneta. A conseqüència d’això, una persona va morir, la passatgera davantera del turisme. Es tracta de M.C.G, de 80 anys, nacionalitat espanyola i veïna de Tortosa. A més, dues persones més van resultar ferides, una de greu, el conductor del turisme, que va ser traslladat a l’hospital Verge de la Cinta de Tortosa, i una de lleu, un home que va demanar l’alta voluntària al lloc dels fets.</p>
<p style=""text-align: left;"">Arran del sinistre, que va obligar a restringir la calçada entre 18.24 i 20.43 h, es van activar quatre patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat i tres  ambulàncies del Sistema d’Emergències Mèdiques.</p>
<p style=""text-align: left;"">El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p style=""text-align: left;"">11 de febrer de 2016<br/>08.00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/201690210_acc_n_340
324," Dimarts, 9 de febrer de 2016",  00.29 , AP-7 al punt quilomètric 45 a Vilademuls (Pla de l’Estany),10/02/2016,12:06,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dimarts, 9 de febrer de 2016</strong></p>
<p><strong></strong><strong>HORA D'AVÍS:  00.29 h</strong></p>
<p><strong> VIA: AP-7 al punt quilomètric 45 a Vilademuls (Pla de l’Estany)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit (SCT) informa que ahir dimarts es va registrar un  sinistre viari mortal al punt quilomètric 45 de l’AP-7 a Vilademuls (Pla de l’Estany). Els Mossos d’Esquadra van rebre l’avís a les 00.29 hores.</p>
<p>L’acompanyant del conductor d’un camió va resultar ferit molt greu mentre ajudava a maniobrar el vehicle i va ser traslladat per efectius del Sistema d’Emergències Mèdiques (SEM) a l’hospital Josep Trueta de Girona, on va morir ahir al vespre. Es tracta de S. E. V., de 48 anys i veí de Villanueva de la Cañada (Madrid).</p>
<p>Arran del sinistre es van activar quatre patrulles dels Mossos d’Esquadra i dues  ambulàncies del SEM.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>10 de febrer de 2016<br/> 12.00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160209_acc_AP7
325," Diumenge, 7 de febrer de 2016",  13.30 ," AP-7 al punt quilomètric 269,3 a Mont-roig del Camp (Baix Camp)",07/02/2016,13:30,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Diumenge, 7 de febrer de 2016</strong><strong><br/> HORA D'AVÍS:  13.30 h<br/> VIA: AP-7 al punt quilomètric 269,3 a Mont-roig del Camp (Baix Camp)</strong></p>
<p>El Servei Català de Trànsit (SCT) informa que aquest migdia s’ha registrat un  sinistre viari mortal al punt quilomètric 269,3 de l’AP-7 a Mont-roig del Camp (Baix Camp) en sentit Barcelona. Els Mossos d’Esquadra han rebut l’avís a les 13.30 hores.</p>
<p>Per causes que encara s’estan investigant, un turisme amb tres ocupants ha sortit de la via i ha topat amb la biona. A conseqüència del xoc ha resultat mort el conductor del vehicle, E.C.L., de 74 anys i veí de Sant Joan Despí, mentre que les dues passatgeres han resultat ferides, una ha estat evacuada en estat crític a l’Hospital Joan XXIII de Tarragona en un helicòpter del Sistema d’Emergències Mèdiques (SEM), i l’altra ha estat traslladada en estat greu al mateix hospital en una ambulància del SEM.</p>
<p>Arran del sinistre, s’han activat quatre patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat, i un helicòpter i tres ambulàncies del SEM.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>7 de febrer de 2016<br/> 20.30 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160207_AP_7
326," Diumenge, 31 de gener de 2016",  22.11 ," L-310 al punt quilomètric 12,8 a Plans de Sió (Segarra)",01/02/2016,22:11,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Diumenge, 31 de gener de 2016</strong><strong><br/> HORA D'AVÍS:  22.11 h<br/> VIA: L-310 al punt quilomètric 12,8 a Plans de Sió (Segarra)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit (SCT) informa que ahir a la nit es va registrar un  sinistre viari mortal al punt quilomètric 12,8 de la L-310 a Plans de Sió (Segarra). Els Mossos d’Esquadra van rebre l’avís a les 22.11 hores.</p>
<p> </p>
<p>Per causes que encara s’estan investigant, dos turismes van col·lidir frontalment. A conseqüència del xoc va resultar mort el conductor d’un dels vehicles, E. M. B., de 45 anys i veí de Plans de Sió. L’altre ocupant del vehicle, un menor, va resultar ferit menys greu i va ser traslladat a l’hospital Arnau de Vilanova de Lleida. El conductor de l’altre turisme va resultar ferit menys greu i també va ser traslladat a l’hospital Arnau de Vilanova de Lleida.</p>
<p> </p>
<p>Arran del sinistre, es van activar quatre patrulles dels Mossos d’Esquadra, cinc vehicles dels Bombers de la Generalitat i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p> </p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>1 de febrer de 2016<br/> 9.47 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160201_l_310
327," Divendres, 29 de gener de 2016",  22.59 ," C-65 al punt quilomètric 29,1 a Girona (Gironès)",30/01/2016,11:05,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Divendres, 29 de gener de 2016</strong><strong><br/>HORA D'AVÍS:  22.59 h<br/>VIA: C-65 al punt quilomètric 29,1 a Girona (Gironès)</strong></p>
<p>El Servei Català de Trànsit (SCT) informa que ahir a la nit es va registrar un  sinistre viari mortal al punt quilomètric 29,1 de la C-65 a Girona (Gironès). Els Mossos d’Esquadra van rebre l’avís a les 22.59 hores.</p>
<p>Per causes que encara s’estan investigant, dos turismes van col·lidir frontalment. A conseqüència del xoc va resultar morta la conductora d’un dels vehicles, L. F. C., de 25 anys i veïna de Cornellà de Terri. El conductor de l’altre turisme va resultar ferit menys greu i va ser traslladat a l’Hospital Dr. Josep Trueta de Girona. Un tercer vehicle va col·lidir contra els dos cotxes accidentats però els dos ocupants van resultar il·lesos.</p>
<p>Arran del sinistre, que va obligar a tallar totalment la via fins la 1 de la matinada, es van activar cinc patrulles dels Mossos d’Esquadra, quatre vehicles dels Bombers de la Generalitat i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>30 de gener de 2016<br/>11.00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160130_acc_c65
328," Diumenge, 24 de gener de 2016",  12.50 , Camí rural de la Granja d’Escarp (Segrià) a Mequinensa,24/01/2016,12:50,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Diumenge, 24 de gener de 2016</strong><strong><br/>HORA D'AVÍS:  12.50 h<br/>VIA: Camí rural de la Granja d’Escarp (Segrià) a Mequinensa</strong></p>
<p>El Servei Català de Trànsit (SCT) informa que el passat diumenge es va registrar un  sinistre viari mortal al punt quilomètric 1,5 d’un camí asfaltat de la Granja d’Escarp (Segrià) a Mequinensa. Els Mossos d’Esquadra van rebre l’avís a les 12.50 hores.</p>
<p>Per causes que encara s’estan investigant, una motocicleta va sortir de la via i el seu conductor va resultar ferit greu i va ser traslladat a l’hospital Arnau de Vilanova de Lleida, on va morir hores més tard. La víctima és J.A.G.I., de 57 anys i veí de Calanda (Terol). </p>
<p>Arran del sinistre, es van activar dues patrulles dels Mossos d’Esquadra i una ambulància del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>26 de gener de 2016<br/>10.25 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160124_camirural
329," Divendres, 22 de gener de 2016",  08.37 ," N-145 al punt quilomètric 6,6 a Les Valls de Valira (Alt Urgell)",22/01/2016,12:57,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong><span style=""font-size: medium;"">DIA: Divendres, 22 de gener de 2016</span></strong><strong><br/><span style=""font-size: medium;"">HORA D'AVÍS:  08.37 h<br/>VIA: N-145 al punt quilomètric 6,6 a Les Valls de Valira (Alt Urgell)</span></strong></p>
<p><span style=""font-size: medium;""> </span></p>
<p><span style=""font-size: medium;"">El Servei Català de Trànsit (SCT) informa que aquest matí s’ha registrat un  sinistre viari mortal al punt quilomètric 6,6 de la N-145 a Les Valls de Valira (Alt Urgell). Els Mossos d’Esquadra han rebut l’avís a les 08.37 hores.</span></p>
<p><span style=""font-size: medium;"">Per causes que encara s’estan investigant, han col·lidit frontolateralment un tot terreny i un turisme. A conseqüència del xoc, ha resultat morta la passatgera posterior del turisme, una menor de nacionalitat espanyola i veïna d’Andorra. Les altres dues ocupants del vehicle han resultat ferides greus i han sigut traslladades a l’Hospital Arnau de Vilanova i a l’Hospital de la Vall d’Hebron. Quant a la conductora del tot terreny també ha resultat ferida greu i ha sigut traslladada a l’Arnau de Vilanova.  </span></p>
<p> </p>
<p><span style=""font-size: medium;"">Arran del sinistre, que ha obligat a tallar totalment la via fins a les 11.06 hores, quan s’ha establert pas alternatiu, s’han activat quatre patrulles dels Mossos d’Esquadra, cinc dotacions dels Bombers de la Generalitat i dues ambulàncies i dos helicòpters medicalitzats del SEM, a més d’una ambulància andorrana. La circulació s’ha normalitzat a les 12.32 hores.</span></p>
<p><span style=""font-size: medium;"">El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</span></p>
<p><span style=""font-size: medium;"">22 de gener de 2016<br/>12.50 h</span></p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160122_acc_N145
330," Dijous, 14 de gener de 2016",  16.39 ," C-1415c al punt quilomètric 12,5 a la Roca del Vallès (Vallès Oriental)",15/01/2016,13:48,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dijous, 14 de gener de 2016</strong><strong><br/>HORA D'AVÍS:  16.39 h<br/>VIA: C-1415c al punt quilomètric 12,5 a la Roca del Vallès (Vallès Oriental)</strong></p>
<p>El Servei Català de Trànsit (SCT) informa que ahir a la tarda es va registrar un  sinistre viari mortal al punt quilomètric 12,5 de la C-1415c a la Roca del Vallès (Vallès Oriental). Els Mossos d’Esquadra van rebre l’avís a les 16.39 hores.</p>
<p>Per causes que encara s’estan investigant, un turisme va sortir de la via. El passatger posterior del vehicle va resultar ferit crític i va ser traslladat per efectius del Sistema d’Emergències Mèdiques (SEM) a l’Hospital Parc Taulí de Sabadell, on ha mort aquest matí. La víctima mortal és H.K.R., de 20 anys i veí de Canovelles. Els altres dos ocupants del cotxe, el conductor i el passatger davanter, van patir ferides lleus i van ser traslladats al mateix centre hospitalari que la víctima mortal.</p>
<p>Arran del sinistre es van activar quatre patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i tres ambulàncies i un helicòpter medicalitzat del SEM.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>15 de gener de 2016<br/>13.20 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160115_acc_C1415c
331," Dilluns, 11 de gener de 2016",  19.39 , LV-2001 al punt quilomètric 9 a Juneda (les Garrigues),12/01/2016,14:07,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dilluns, 11 de gener de 2016</strong><strong><br/>HORA D'AVÍS:  19.39 h<br/>VIA: LV-2001 al punt quilomètric 9 a Juneda (les Garrigues)</strong></p>
